"","X","predator","q0","q1","q2","chao1","species","site","age","time_min","time_hour","day","month","year.x","beak_colour","color","temperature","clouds","clouds_height","winds","precipitation","fresh_snow","snow_height","cover_snow","elevation","weight","fat","muscle","sex_genetics","timekey","key_m100","capture_day","E1","E1_adj","total_ra","anthropo_ra","failures","ringnr","recapture","year.y","recap_num","nrecapture"
"64",64,"N687602",85,2.49322820348129,0.890063401770185,85,"Montifringilla nivalis","Tiefenbach",4,18,16,10,3,2025,7,"black",NA,6,2500,1,NA,0,150,96,2102,42.5,3,2,"m","2025-03-10 16:18","2025-03-10 14:38:00","2025-03-10",0.0293320965115446,0.0341843429392606,3343468,572560,2770908,687602,"first capture",2025,0,0
"65",65,"N687603",57,1.8272701544003,0.774266764657336,57,"Montifringilla nivalis","Tiefenbach",4,18,16,10,3,2025,3.5,"black",NA,6,2500,1,NA,0,150,96,2102,38.5,4,2,"f","2025-03-10 16:18","2025-03-10 14:38:00","2025-03-10",0.0320573711298298,0.0368815219429244,3244992,1789346,1455646,687603,"first capture",2025,0,0
"66",66,"N687614",79,1.57878892885036,0.695879112681949,79,"Montifringilla nivalis","Tiefenbach",5,35,17,10,3,2025,5.5,"black",NA,6,2500,0,NA,0,150,96,2102,42,3,2,"f","2025-03-10 17:35","2025-03-10 15:55:00","2025-03-10",0.0199846699854476,0.0249332816350822,3712955,1626307,2086648,687614,"first capture",2025,0,0
"67",67,"N687615",4,0.718885048168271,0.497110040559111,4,"Montifringilla nivalis","Tiefenbach",4,35,17,10,3,2025,7,"black",NA,6,2500,0,NA,0,150,96,2102,43,3,2,"m","2025-03-10 17:35","2025-03-10 15:55:00","2025-03-10",0.179721262042068,0.183023104701428,448059,0,448059,687615,"first capture",2025,0,0
"68",68,"N687616",35,1.35256087198962,0.642883573391013,35,"Montifringilla nivalis","Tiefenbach",4,13,8,11,3,2025,4,"black",NA,7,3200,0,"no",0,150,96,2102,38.5,3,2,"f","2025-03-11 08:13","2025-03-11 06:33:00","2025-03-11",0.0386445963425606,0.0434008376173795,3301728,1742980,1558748,687616,"first capture",2025,0,0
"69",69,"N687618",53,1.8990090100067,0.772000441022478,53,"Montifringilla nivalis","Tiefenbach",6,26,8,11,3,2025,6,"black",NA,7,3200,0,"no",0,150,96,2102,40.5,4,2,"m","2025-03-11 08:26","2025-03-11 06:46:00","2025-03-11",0.0358303586793717,0.040615612713605,3298412,1396454,1901958,687618,"first capture",2025,0,0
"70",70,"N687620",173,1.41574761385247,0.578942637026908,173,"Montifringilla nivalis","Tiefenbach",4,30,8,11,3,2025,6,"black",NA,7,3200,0,"no",0,150,96,2102,41.5,4,2,"m","2025-03-11 08:30","2025-03-11 06:50:00","2025-03-11",0.00818351221880041,0.0132537852887097,3841023,723243,3117780,687620,"first capture",2025,0,0
"71",71,"N687624",137,1.52965764692591,0.696848691886783,137,"Montifringilla nivalis","Tiefenbach",4,30,8,11,3,2025,7,"black",NA,7,3200,0,"no",0,150,96,2102,41,3,2,"m","2025-03-11 08:30","2025-03-11 06:50:00","2025-03-11",0.0111653842841307,0.0162049164049129,3977890,1567282,2410608,687624,"first capture",2025,0,0
"72",72,"N687625",4,0.917277020228256,0.537091728402596,4,"Montifringilla nivalis","Tiefenbach",4,30,8,11,3,2025,7,"black",NA,7,3200,0,"no",0,150,96,2102,39,4,2,"f","2025-03-11 08:30","2025-03-11 06:50:00","2025-03-11",0.229319255057064,0.232109778200806,1016918,635580,381338,687625,"first capture",2025,0,0
"73",73,"N687629",5,0.120353168736288,0.040326659304987,5,"Montifringilla nivalis","Tiefenbach",4,41,8,11,3,2025,6.5,"black",NA,5,3200,0,"no",0,150,96,2102,41,4,2,"m","2025-03-11 08:41","2025-03-11 07:01:00","2025-03-11",0.0240706337472576,0.0289771220591415,3972979,3891714,81265,687629,"first capture",2025,0,0
"74",74,"N687637",193,1.34889120066182,0.63113114508609,193,"Montifringilla nivalis","Tiefenbach",4,44,8,12,3,2025,7,"black",NA,6,2500,1,"no",0,150,96,2102,40,3,2,"f","2025-03-12 08:44","2025-03-12 07:04:00","2025-03-12",0.00698907357855865,0.0120716604488828,3968922,1172109,2796813,687637,"first capture",2025,0,0
"75",75,"N687641",24,0.545397703756329,0.285130682724149,24,"Montifringilla nivalis","Distelboden",4,45,9,13,3,2025,6,"black",NA,8,1900,2,"snow",10,160,100,1899,39,3,2,"m","2025-03-13 09:45","2025-03-13 08:05:00","2025-03-13",0.0227249043231804,0.0276452661342816,4578572,3813755,764817,687641,"first capture",2025,0,0
